"Cell Voltage #32","Cell32","22F102","((O*256)+P)",0,5,"V","7E3"
"Cell Voltage #33","Cell33","22F102","((Q*256)+R)",0,5,"V","7E3"
"Cell Voltage #34","Cell34","22F102","((S*256)+T)",0,5,"V","7E3"
"Cell Voltage #35","Cell35","22F102","((U*256)+V)",0,5,"V","7E3"
"Cell Voltage #36","Cell36","22F102","((W*256)+X)",0,5,"V","7E3"
"Cell Voltage #37","Cell37","22F103","((A*256)+B)",0,5,"V","7E3"
"Cell Voltage #38","Cell38","22F103","((C*256)+D)",0,5,"V","7E3"
"Cell Voltage #39","Cell39","22F103","((E*256)+F)",0,5,"V","7E3"
"Cell Voltage #40","Cell40","22F103","((G*256)+H)",0,5,"V","7E3"
"Cell Voltage #41","Cell41","22F103","((I*256)+J)",0,5,"V","7E3"
"Cell Voltage #42","Cell42","22F103","((K*256)+L)",0,5,"V","7E3"
"Cell Voltage #43","Cell43","22F103","((M*256)+N)",0,5,"V","7E3"
"Cell Voltage #44","Cell44","22F103","((O*256)+P)",0,5,"V","7E3"
"Cell Voltage #45","Cell45","22F103","((Q*256)+R)",0,5,"V","7E3"
"Cell Voltage #46","Cell46","22F103","((S*256)+T)",0,5,"V","7E3"
"Cell Voltage #47","Cell47","22F103","((U*256)+V)",0,5,"V","7E3"
"Cell Voltage #48","Cell48","22F103","((W*256)+X)",0,5,"V","7E3"
"Cell Voltage #49","Cell49","22F104","((A*256)+B)",0,5,"V","7E3"
"Cell Voltage #50","Cell50","22F104","((C*256)+D)",0,5,"V","7E3"
"Cell Voltage #51","Cell51","22F104","((E*256)+F)",0,5,"V","7E3"
"Cell Voltage #52","Cell52","22F104","((G*256)+H)",0,5,"V","7E3"
"Cell Voltage #53","Cell53","22F104","((I*256)+J)",0,5,"V","7E3"
"Cell Voltage #54","Cell54","22F104","((K*256)+L)",0,5,"V","7E3"
"Cell Voltage #55","Cell55","22F104","((M*256)+N)",0,5,"V","7E3"
"Cell Voltage #56","Cell56","22F104","((O*256)+P)",0,5,"V","7E3"
"Cell Voltage #57","Cell57","22F104","((Q*256)+R)",0,5,"V","7E3"
"Cell Voltage #58","Cell58","22F104","((S*256)+T)",0,5,"V","7E3"
"Cell Voltage #59","Cell59","22F104","((U*256)+V)",0,5,"V","7E3"
"Cell Voltage #60","Cell60","22F104","((W*256)+X)",0,5,"V","7E3"
"Cell Voltage #61","Cell61","22F105","((A*256)+B)",0,5,"V","7E3"
"Cell Voltage #62","Cell62","22F105","((C*256)+D)",0,5,"V","7E3"
"Cell Voltage #63","Cell63","22F105","((E*256)+F)",0,5,"V","7E3"
"Cell Voltage #64","Cell64","22F105","((G*256)+H)",0,5,"V","7E3"
"Cell Voltage #65","Cell65","22F105","((I*256)+J)",0,5,"V","7E3"
"Cell Voltage #66","Cell66","22F105","((K*256)+L)",0,5,"V","7E3"
"Cell Voltage #67","Cell67","22F105","((M*256)+N)",0,5,"V","7E3"
"Cell Voltage #68","Cell68","22F105","((O*256)+P)",0,5,"V","7E3"
